SOC,OCCUPATION_DESCRIPTION
2422,Finance and investment analysts and advisers
2423,Taxation experts
243,"Business, Research and Administrative Professionals"
2431,Management consultants and business analysts
2432,Marketing and commercial managers
2433,"Actuaries, economists and statisticians"
2434,Business and related research professionals
2435,Professional/Chartered company secretaries 
2439,"Business, research and administrative professionals n.e.c."
244,Business and Financial Project Management Professionals
2440,Business and financial project management professionals
245,"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals"
2451,Architects
2452,"Chartered architectural technologists, planning officers and consultants"
2453,Quantity surveyors
2454,Chartered surveyors
2455,Construction project managers and related professionals
246,Welfare Professionals
2461,Social workers
2462,Probation officers
2463,Clergy
2464,Youth work professionals
2469,Welfare professionals n.e.c.
247,Librarians and Related Professionals
2471,Librarians
2472,Archivists and curators
248,Quality and Regulatory Professionals
2481,Quality control and planning engineers
2482,Quality assurance and regulatory professionals
2483,Environmental health professionals
249,Media Professionals
2491,Newspaper and periodical editors
2492,Newspaper and periodical journalists and reporters
2493,Public relations professionals
2494,Advertising accounts managers and creative directors
3,ASSOCIATE PROFESSIONAL OCCUPATIONS
31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS"
311,"Science, Engineering and Production Technicians"
3111,Laboratory technicians
3112,Electrical and electronics technicians 
3113,Engineering technicians 
3114,Building and civil engineering technicians 
3115,Quality assurance technicians 
3116,"Planning, process and production technicians"
3119,"Science, engineering and production technicians n.e.c."
312,"CAD, Drawing and Architectural Technicians"
3120,"CAD, drawing and architectural technicians"
313,Information Technology Technicians
3131,IT operations technicians
3132,IT user support technicians
3133,Database administrators and web content technicians
32,HEALTH AND SOCIAL CARE ASSOCIATE PROFESSIONALS
321,Health Associate Professionals
3211,Dispensing opticians
3212,Pharmaceutical technicians
3213,Medical and dental technicians
3214,Complementary health associate professionals
3219,Health associate professionals n.e.c.
322,Welfare and Housing Associate Professionals
3221,Youth and community workers
3222,Child and early years officers
3223,Housing officers
3224,Counsellors
3229,Welfare and housing associate professionals n.e.c.
323,Teaching and Childcare Associate Professionals
3231,Higher level teaching assistants
3232,Early education and childcare practitioners
324,Veterinary nurses
3240,Veterinary nurses
33,PROTECTIVE SERVICE OCCUPATIONS
331,Protective Service Occupations
3311,Non-commissioned officers and other ranks
3312,Police officers (sergeant and below)
3313,Fire service officers (watch manager and below)
3314,Prison service officers (below principal officer)
3319,Protective service associate professionals n.e.c.
34,"CULTURE, MEDIA AND SPORTS OCCUPATIONS"
341,"Artistic, Literary and Media Occupations"
3411,Artists
3412,"Authors, writers and translators"
3413,"Actors, entertainers and presenters"
3414,Dancers and choreographers
3415,Musicians
3416,"Arts officers, producers and directors"
3417,"Photographers, audio-visual and broadcasting equipment operators"
342,Design Occupations 
3421,Interior designers
3422,"Clothing, fashion and accessories designers"
3429,Design occupations n.e.c.
343,Sports and Fitness Occupations
3431,Sports players
3432,"Sports coaches, instructors and officials"
3433,Fitness and wellbeing instructors
35,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS
351,Transport Associate Professionals
3511,Aircraft pilots and air traffic controllers
3512,Ship and hovercraft officers
352,Legal Associate Professionals
3520,Legal associate professionals
353,Finance Associate Professionals
3531,Brokers
3532,Insurance underwriters
3533,Financial and accounting technicians
3534,Financial accounts managers
354,Business Associate Professionals
3541,"Estimators, valuers and assessors"
3542,Importers and exporters
3543,Project support officers
3544,Data analysts
3549,Business associate professionals n.e.c.
355,"Sales, Marketing and Related Associate Professionals"
3551,Buyers and procurement officers
3552,Business sales executives
3553,Merchandisers 
3554,Marketing associate professionals
3555,Estate agents and auctioneers
3556,Sales accounts and business development managers
3557,Events managers and organisers
356,Public Services Associate Professionals
3560,Public services associate professionals
357,"HR, Training and Other Vocational Associate Guidance Professionals"
3571,Human resources and industrial relations officers
3572,Careers advisers and vocational guidance specialists
3573,Information technology trainers
3574,Other vocational and industrial trainers
358,Regulatory Associate Professionals
3581,Inspectors of standards and regulations
3582,Health and safety managers and officers
4,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS
41,ADMINISTRATIVE OCCUPATIONS
411,Administrative Occupations: Government and Related Organisations
4111,National government administrative occupations
4112,Local government administrative occupations
4113,Officers of non-governmental organisations
412,Administrative Occupations: Finance
4121,Credit controllers
4122,"Book-keepers, payroll managers and wages clerks"
4123,Bank and post office clerks
4124,Finance officers
4129,Financial administrative occupations n.e.c.
413,Administrative Occupations: Records
4131,Records clerks and assistants
4132,Pensions and insurance clerks and assistants
4133,Stock control clerks and assistants
4134,Transport and distribution clerks and assistants
4135,Library clerks and assistants
4136,Human resources administrative occupations
414,Administrative Occupations: Office Managers and Supervisors
4141,Office managers
4142,Office supervisors
4143,Customer service managers
415,Other Administrative Occupations
4151,Sales administrators
4152,Data entry administrators
4159,Other administrative occupations n.e.c.
42,SECRETARIAL AND RELATED OCCUPATIONS
421,Secretarial and Related Occupations
4211,Medical secretaries
4212,Legal secretaries
4213,School secretaries
4214,Company secretaries and administrators
4215,Personal assistants and other secretaries
4216,Receptionists
4217,Typists and related keyboard occupations
5,SKILLED TRADES OCCUPATIONS
51,SKILLED AGRICULTURAL AND RELATED TRADES
511,Agricultural and Related Trades
5111,Farmers
5112,Horticultural trades
5113,Gardeners and landscape gardeners
5114,Groundsmen and greenkeepers
5119,Agricultural and fishing trades n.e.c.
52,"SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADES"
521,"Metal Forming, Welding and Related Trades"
5211,Sheet metal workers
5212,"Metal plate workers, smiths, moulders and related occupations"
5213,Welding trades
5214,Pipe fitters
522,"Metal Machining, Fitting and Instrument Making Trades"
5221,Metal machining setters and setter-operators
5222,"Tool makers, tool fitters and markers-out"
5223,Metal working production and maintenance fitters
5224,Precision instrument makers and repairers
5225,Air-conditioning and refrigeration installers and repairers
523,Vehicle Trades
5231,"Vehicle technicians, mechanics and electricians"
5232,Vehicle body builders and repairers 
5233,Vehicle paint technicians
5234,Aircraft maintenance and related trades
5235,Boat and ship builders and repairers
5236,Rail and rolling stock builders and repairers
524,Electrical and Electronic Trades
5241,Electricians and electrical fitters
5242,Telecoms and related network installers and repairers
5243,"TV, video and audio servicers and repairers"
5244,Computer system and equipment installers and servicers
5245,Security system installers and repairers
5246,Electrical service and maintenance mechanics and repairers
5249,Electrical and electronic trades n.e.c.
525,"Skilled Metal, Electrical and Electronic Trades Supervisors"
5250,"Skilled metal, electrical and electronic trades supervisors"
53,SKILLED CONSTRUCTION AND BUILDING TRADES
531,Construction and Building Trades
5311,Steel erectors
5312,Stonemasons and related trades
5313,Bricklayers 
5314,"Roofers, roof tilers and slaters"
5315,Plumbers & heating and ventilating installers and repairers
5316,Carpenters and joiners
5317,"Glaziers, window fabricators and fitters"
5319,Construction and building trades n.e.c.
532,Building Finishing Trades
5321,Plasterers
5322,Floorers and wall tilers
5323,Painters and decorators
533,Construction and Building Trades Supervisors
5330,Construction and building trades supervisors
54,"TEXTILES, PRINTING AND OTHER SKILLED TRADES"
541,Textiles and Garments Trades
5411,Upholsterers
5412,Footwear and leather working trades
5413,Tailors and dressmakers
5419,"Textiles, garments and related trades n.e.c."
542,Printing Trades
5421,Pre-press technicians
5422,Printers
5423,Print finishing and binding workers
543,Food Preparation and Hospitality Trades
5431,Butchers
5432,Bakers and flour confectioners
5433,Fishmongers and poultry dressers
5434,Chefs
5435,Cooks
5436,Catering and bar managers
544,Other Skilled Trades
5441,"Glass and ceramics makers, decorators and finishers"
5442,Furniture makers and other craft woodworkers
5443,Florists
5449,Other skilled trades n.e.c.
6,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS"
61,CARING PERSONAL SERVICE OCCUPATIONS
611,Teaching and Childcare Support Occupations
6111,Early education and childcare assistants
6112,Teaching assistants
6113,Educational support assistants
6114,Childminders
6116,Nannies and au pairs
6117,Playworkers
612,Animal Care and Control Services
6121,Pest control officers
6129,Animal care services occupations n.e.c.
613,Caring Personal Services
6131,Nursing auxiliaries and assistants
6132,Ambulance staff (excluding paramedics)
6133,Dental nurses
6134,Houseparents and residential wardens
6135,Care workers and home carers
6136,Senior care workers
6137,Care escorts
6138,"Undertakers, mortuary and crematorium assistants"
62,"LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONS"
621,Leisure and Travel Services
6211,Sports and leisure assistants
6212,Travel agents
6213,Air travel assistants
6214,Rail travel assistants
6219,Leisure and travel service occupations n.e.c.
622,Hairdressers and Related Services
6221,Hairdressers and barbers
6222,Beauticians and related occupations
623,Housekeeping and Related Services
6231,Housekeepers and related occupations
6232,Caretakers
624,Cleaning and Housekeeping Managers and Supervisors
6240,Cleaning and housekeeping managers and supervisors
625,Bed and Breakfast and Guest House Owners and Proprietors 
6250,Bed and breakfast and guest house owners and proprietors 
63,COMMUNITY AND CIVIL ENFORCEMENT OCCUPATIONS
631,Community and Civil Enforcement Occupations
6311,Police community support officers
6312,Parking and civil enforcement occupations
7,SALES AND CUSTOMER SERVICE OCCUPATIONS
71,SALES OCCUPATIONS
711,Sales Assistants and Retail Cashiers
7111,Sales and retail assistants
7112,Retail cashiers and check-out operators
7113,Telephone salespersons
7114,Pharmacy and optical dispensing assistants
7115,Vehicle and parts salespersons and advisers
712,Sales Related Occupations
7121,Collector salespersons and credit agents
7122,"Debt, rent and other cash collectors"
7123,Roundspersons and van salespersons
7124,Market and street traders and assistants
7125,Visual merchandisers and related occupations
7129,Sales related occupations n.e.c.
713,Shopkeepers and Sales Supervisors
7131,Shopkeepers and owners - retail and wholesale
7132,Sales supervisors - retail and wholesale 
72,CUSTOMER SERVICE OCCUPATIONS
721,Customer Service Occupations
7211,Call and contact centre occupations
7212,Telephonists
7213,Communication operators
7214,Market research interviewers
7219,Customer service occupations n.e.c.
722,Customer Service Supervisors
7220,Customer service supervisors
8,"PROCESS, PLANT AND MACHINE OPERATIVES"
81,"PROCESS, PLANT AND MACHINE OPERATIVES"
811,Process Operatives
8111,"Food, drink and tobacco process operatives"
8112,Textile process operatives
8113,Chemical and related process operatives
8114,Plastics process operatives
8115,Metal making and treating process operatives
8119,Process operatives n.e.c.
812,Metal Working Machine Operatives
8120,Metal working machine operatives 
813,Plant and Machine Operatives
8131,Paper and wood machine operatives
8132,Mining and quarry workers and related operatives
8133,Energy plant operatives
8134,Water and sewerage plant operatives
8135,Printing machine assistants
8139,Plant and machine operatives n.e.c.
814,Assemblers and Routine Operatives
8141,Assemblers (electrical and electronic products)
8142,Assemblers (vehicles and metal goods)
8143,Routine inspectors and testers
8144,"Weighers, graders and sorters"
8145,"Tyre, exhaust and windscreen fitters"
8146,Sewing machinists
8149,Assemblers and routine operatives n.e.c.
815,Construction Operatives
8151,"Scaffolders, stagers and riggers"
8152,Road construction operatives
8153,Rail construction and maintenance operatives
8159,Construction operatives n.e.c.
816,"Production, Factory and Assembly Supervisors "
8160,"Production, factory and assembly supervisors"
82,TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVES
821,Road Transport Drivers
8211,Large goods vehicle drivers
8212,Bus and coach drivers
8213,Taxi and cab drivers and chauffeurs
8214,Delivery drivers and couriers
8215,Driving instructors
8219,Road transport drivers n.e.c.
822,Mobile Machine Drivers and Operatives
8221,Crane drivers
8222,Fork-lift truck drivers
8229,Mobile machine drivers and operatives n.e.c.
823,Other Drivers and Transport Operatives
8231,Train and tram drivers
8232,Marine and waterways transport operatives
8233,Air transport operatives
8234,Rail transport operatives
8239,Other drivers and transport operatives n.e.c.
9,ELEMENTARY OCCUPATIONS
91,ELEMENTARY TRADES AND RELATED OCCUPATIONS
911,Elementary Agricultural Occupations
9111,Farm workers
9112,Forestry and related workers
9119,Fishing and other elementary agriculture occupations n.e.c.
912,Elementary Construction Occupations
9121,Groundworkers
9129,Elementary construction occupations n.e.c.
913,Elementary Process Plant Occupations
9131,Industrial cleaning process occupations
9132,"Packers, bottlers, canners and fillers"
9139,Elementary process plant occupations n.e.c.
92,ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS
921,Elementary Administration Occupations
9211,"Postal workers, mail sorters and messengers"
9219,Elementary administration occupations n.e.c.
922,Elementary Cleaning Occupations
9221,Window cleaners
9222,Street cleaners
9223,Cleaners and domestics
9224,"Launderers, dry cleaners and pressers"
9225,Refuse and salvage occupations
9226,Vehicle valeters and cleaners
9229,Elementary cleaning occupations n.e.c.
923,Elementary Security Occupations
9231,Security guards and related occupations
9232,School midday and crossing patrol occupations
9233,Exam invigilators
924,Elementary Sales Occupations
9241,Shelf fillers
9249,Elementary sales occupations n.e.c.
925,Elementary Storage Occupations
9251,Elementary storage supervisors
9252,Warehouse operatives
9253,Delivery operatives
9259,Elementary storage occupations n.e.c.
926,Other Elementary Services Occupations
9261,Bar and catering supervisors
9262,Hospital porters
9263,Kitchen and catering assistants
9264,Waiters and waitresses
9265,Bar staff
9266,Coffee shop workers
9267,Leisure and theme park attendants
9269,Other elementary services occupations n.e.c.
