SOC,OCCUPATION_DESCRIPTION
7521,Wood Treaters
7522,Cabinet-makers and Related Workers
7523,Woodworking Machine Tool Setters and Operators
753,Garment and Related Trades Workers
7531,"Tailors, Dressmakers, Furriers and Hatters"
7532,Garment and Related Patternmakers and Cutters
7533,"Sewing, Embroidery and Related Workers"
7534,Upholsterers and Related Workers
7535,"Pelt Dressers, Tanners and Fellmongers"
7536,Shoemakers and Related Workers
754,Other Craft and Related Workers
7541,Underwater Divers
7542,Shotfirers and Blasters
7543,Product Graders and Testers (excluding Foods and Beverages)
7544,Fumigators and Other Pest and Weed Controllers
7549,Craft and Related Workers Not Elsewhere Classified
8,Plant and Machine Operators and Assemblers
81,Stationary Plant and Machine Operators
811,Mining and Mineral Processing Plant Operators
8111,Miners and Quarriers
8112,Mineral and Stone Processing Plant Operators
8113,Well Drillers and Borers and Related Workers
8114,"Cement, Stone and Other Mineral Products Machine Operators"
812,Metal Processing and Finishing Plant Operators
8121,Metal Processing Plant Operators
8122,"Metal Finishing, Plating and Coating Machine Operators"
813,Chemical and Photographic Products Plant and Machine Operators
8131,Chemical Products Plant and Machine Operators
8132,Photographic Products Machine Operators
814,"Rubber, Plastic and Paper Products Machine Operators"
8141,Rubber Products Machine Operators
8142,Plastic Products Machine Operators
8143,Paper Products Machine Operators
815,"Textile, Fur and Leather Products Machine Operators"
8151,"Fibre Preparing, Spinning and Winding Machine Operators"
8152,Weaving and Knitting Machine Operators
8153,Sewing Machine Operators
8154,"Bleaching, Dyeing and Fabric Cleaning Machine Operators"
8155,Fur and Leather Preparing Machine Operators
8156,Shoemaking and Related Machine Operators
8157,Laundry Machine Operators
8159,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
816,Food and Related Products Machine Operators
8160,Food and Related Products Machine Operators
817,Wood Processing and Papermaking Plant Operators
8171,Pulp and Papermaking Plant Operators
8172,Wood Processing Plant Operators
818,Other Stationary Plant and Machine Operators
8181,Glass and Ceramics Plant Operators
8182,Steam Engine and Boiler Operators
8183,"Packing, Bottling and Labelling Machine Operators"
8189,Stationary Plant and Machine Operators Not Elsewhere Classified
82,Assemblers
821,Assemblers
8211,Mechanical Machinery Assemblers
8212,Electrical and Electronic Equipment Assemblers
8219,Assemblers Not Elsewhere Classified
83,Drivers and Mobile Plant Operators
831,Locomotive Engine Drivers and Related Workers
8311,Locomotive Engine Drivers
8312,"Railway Brake, Signal and Switch Operators"
832,"Car, Van and Motorcycle Drivers"
8321,Motorcycle Drivers
8322,"Car, Taxi and Van Drivers"
833,Heavy Truck and Bus Drivers
8331,Bus and Tram Drivers
8332,Heavy Truck and Lorry Drivers
834,Mobile Plant Operators
8341,Mobile Farm and Forestry Plant Operators
8342,Earthmoving and Related Plant Operators
8343,"Crane, Hoist and Related Plant Operators"
8344,Lifting Truck Operators
835,Ships’ Deck Crews and Related Workers
8350,Ships’ Deck Crews and Related Workers
9,Elementary Occupations
91,Cleaners and Helpers
911,"Domestic, Hotel and Office Cleaners and Helpers"
9111,Domestic Cleaners and Helpers
9112,"Cleaners and Helpers in Offices, Hotels and Other Establishments"
912,"Vehicle, Window, Laundry and Other Hand Cleaning Workers"
9121,Hand Launderers and Pressers
9122,Vehicle Cleaners
9123,Window Cleaners
9129,Other Cleaning Workers
92,"Agricultural, Forestry and Fishery Labourers"
921,"Agricultural, Forestry and Fishery Labourers"
9211,Crop Farm Labourers
9212,Livestock Farm Labourers
9213,Mixed Crop and Livestock Farm Labourers
9214,Garden and Horticultural Labourers
9215,Forestry Labourers
9216,Fishery and Aquaculture Labourers
93,"Labourers in Mining, Construction, Manufacturing and Transport"
931,Mining and Construction Labourers
9311,Mining and Quarrying Labourers
9312,Civil Engineering Labourers
9313,Building Construction Labourers
932,Manufacturing Labourers
9321,Hand Packers
9329,Manufacturing Labourers Not Elsewhere Classified
933,Transport and Storage Labourers
9331,Hand and Pedal Vehicle Drivers
9332,Drivers of Animal-drawn Vehicles and Machinery
9333,Freight Handlers
9334,Shelf Fillers
94,Food Preparation Assistants
941,Food Preparation Assistants
9411,Fast Food Preparers
9412,Kitchen Helpers
95,Street and Related Sales and Services Workers
951,Street and Related Services Workers
9510,Street and Related Services Workers
952,Street Vendors (excluding Food)
9520,Street Vendors (excluding Food)
96,Refuse Workers and Other Elementary Workers
961,Refuse Workers
9611,Garbage and Recycling Collectors
9612,Refuse Sorters
9613,Sweepers and Related Labourers
962,Other Elementary Workers
9621,"Messengers, Package Deliverers and Luggage Porters"
9622,Odd-job Persons
9623,Meter Readers and Vending-machine Collectors
9624,Water and Firewood Collectors
9629,Elementary Workers Not Elsewhere Classified
0,Armed Forces Occupations
1,Commissioned Armed Forces Officers
11,Commissioned Armed Forces Officers
110,Commissioned Armed Forces Officers
2,Non-commissioned Armed Forces Officers
21,Non-commissioned Armed Forces Officers
210,Non-commissioned Armed Forces Officers
3,"Armed Forces Occupations, Other Ranks"
31,"Armed Forces Occupations, Other Ranks"
310,"Armed Forces Occupations, Other Ranks"
